LOG_NO,RACE,GENDER,BIRTH_YEAR
2019-0000241,Black or African American,Female,1985
2019-0000245,Black or African American,Female,1991
2019-0000246,Black or African American,Male,NULL
2019-0000247,S,M,1970
2019-0000250,WHI,F,1965
2019-0000250,"Hispanic, Latino, or Spanish Origin",Female,1973
2019-0000254,Black or African American,Female,1989
2019-0000256,Black or African American,Female,1986
2019-0000261,White,NULL,1979
2019-0000263,Black or African American,Male,1977
2019-0000266,Black or African American,Male,1971
2019-0000268,Black or African American,Male,1993
2019-0000269,Black or African American,Male,1989
2019-0000270,Black or African American,Male,1968
2019-0000275,NULL,Female,NULL
2019-0000278,Black or African American,Male,1980
2019-0000278,WHI,M,1970
2019-0000285,WHI,M,1969
2019-0000286,WHI,M,NULL
2019-0000288,WHI,F,1937
2019-0000290,Black or African American,Male,1965
2019-0000291,"Hispanic, Latino, or Spanish Origin",Male,1979
2019-0000291,BLK,M,1974
2019-0000292,Black or African American,Female,1990
2019-0000294,BLK,M,1969
2019-0000295,Black or African American,Female,NULL
2019-0000301,NULL,NULL,NULL
2019-0000303,S,M,1973
2019-0000304,NULL,Male,1981
2019-0000305,Black or African American,NULL,1995
2019-0000309,Black or African American,Male,1966
2019-0000311,API,M,1982
2019-0000313,Black or African American,Male,1992
2019-0000314,Black or African American,Male,1992
2019-0000315,WHI,M,1971
2019-0000318,Black or African American,Female,1981
2019-0000322,Black or African American,Male,1986
2019-0000326,Black or African American,Male,1984
2019-0000330,NULL,NULL,NULL
2019-0000330,WHI,M,1968
2019-0000331,Black or African American,Male,NULL
2019-0000338,Black or African American,Male,1948
2019-0000344,Black or African American,Male,1994
2019-0000345,Black or African American,Male,1991
2019-0000346,"Hispanic, Latino, or Spanish Origin",NULL,NULL
2019-0000348,NULL,NULL,NULL
2019-0000348,NULL,NULL,NULL
2019-0000351,"Hispanic, Latino, or Spanish Origin",NULL,1982
2019-0000351,"Hispanic, Latino, or Spanish Origin",Male,1959
2019-0000354,Black or African American,Male,1989
2019-0000354,WHI,M,1971
2019-0000357,Black or African American,Female,1980
2019-0000358,Black or African American,Female,1977
2019-0000363,Black or African American,Male,1998
2019-0000365,Black or African American,Female,1980
2019-0000365,WHI,M,1972
2019-0000368,WHI,M,1978
2019-0000370,NULL,NULL,NULL
2019-0000370,WHI,M,NULL
2019-0000374,WHI,M,1971
2019-0000381,Black or African American,Female,1969
2019-0000383,Black or African American,Male,NULL
2019-0000387,Black or African American,Female,1997
2019-0000388,WHI,F,1973
2019-0000389,Black or African American,Female,1992
2019-0000391,Black or African American,Male,1975
2019-0000392,Black or African American,Female,1966
2019-0000395,BLK,M,1957
2019-0000396,White,Male,1952
2019-0000397,Black or African American,Male,NULL
2019-0000399,Black or African American,Female,NULL
2019-0000400,WHI,M,NULL
2019-0000401,Black or African American,Male,1974
2019-0000406,Black or African American,Male,1986
2019-0000408,Black or African American,Male,1989
2019-0000410,NULL,Male,NULL
2019-0000414,Black or African American,NULL,1992
2019-0000415,"Hispanic, Latino, or Spanish Origin",Female,NULL
2019-0000415,S,F,1971
2019-0000417,Black or African American,Male,1987
2019-0000423,WHI,M,1967
2019-0000424,NULL,NULL,NULL
2019-0000427,Black or African American,Male,1993
2019-0000428,Black or African American,NULL,1973
2019-0000429,Black or African American,Female,1948
2019-0000431,Black or African American,Female,1986
2019-0000431,Black or African American,Female,2007
2019-0000431,WHI,M,1977
2019-0000432,WHI,M,1971
2019-0000432,Black or African American,Female,NULL
2019-0000442,"Hispanic, Latino, or Spanish Origin",Female,1978
2019-0000442,WHI,M,1979
2019-0000446,Black or African American,Female,1986
2019-0000447,Black or African American,NULL,1964
2019-0000448,Black or African American,Male,1978
2019-0000450,Black or African American,Male,1993
2019-0000453,Black or African American,Female,1974
2019-0000454,Black or African American,Male,1949
2019-0000454,WHI,M,1969
2019-0000455,Asian,Male,1991
2019-0000456,White,Female,1975
2019-0000465,Black or African American,Female,1977
2019-0000466,American Indian or Alaska Native,Male,1973
2019-0000467,Black or African American,Male,1972
2019-0000478,Black or African American,Male,1991
2019-0000478,Black or African American,Male,1996
2019-0000479,Black or African American,Male,1984
2019-0000480,Black or African American,Male,1992
2019-0000486,Black or African American,Female,1990
2019-0000486,Black or African American,Male,1993
2019-0000489,NULL,Female,NULL
2019-0000489,NULL,Male,NULL
2019-0000489,S,M,1974
2019-0000492,WHI,F,1979
2019-0000492,NULL,Female,1992
2019-0000494,Black or African American,NULL,1963
2019-0000497,Black or African American,Female,1969
2019-0000498,"Hispanic, Latino, or Spanish Origin",Female,1988
2019-0000500,Black or African American,Female,1966
2019-0000501,Black or African American,Male,1982
2019-0000502,Black or African American,Male,1985
2019-0000505,Black or African American,Female,1975
2019-0000511,Black or African American,Male,1980
2019-0000512,NULL,Male,1981
2019-0000513,Black or African American,Male,1990
2019-0000515,"Hispanic, Latino, or Spanish Origin",Male,1992
2019-0000516,Black or African American,NULL,NULL
2019-0000518,NULL,NULL,NULL
2019-0000521,"Hispanic, Latino, or Spanish origin",NULL,NULL
2019-0000522,BLK,F,1957
2019-0000522,WHI,F,1966
2019-0000525,S,M,1973
2019-0000525,NULL,Male,NULL
2019-0000526,Middle Eastern or North African,Male,1981
2019-0000526,WHI,M,1967
2019-0000527,WHI,M,1965
2019-0000527,WHI,M,1969
2019-0000531,NULL,Male,1998
2019-0000531,NULL,Male,1997
2019-0000533,Black or African American,Male,1983
2019-0000541,Black or African American,Male,1990
2019-0000542,Black or African American,Male,1971
2019-0000547,Black or African American,Female,1993
2019-0000549,Black or African American,Male,1981
2019-0000552,NULL,NULL,NULL
2019-0000558,Black or African American,NULL,NULL
2019-0000560,NULL,NULL,NULL
2019-0000560,WHI,M,1976
2019-0000561,WHI,M,1966
2019-0000561,White,Female,NULL
2019-0000563,Black or African American,Male,1985
2019-0000569,S,M,1984
2019-0000571,S,M,1975
2019-0000573,WHI,F,1975
2019-0000573,Black or African American,Male,1989
2019-0000576,Black or African American,Male,1983
2019-0000577,Black or African American,Male,1981
2019-0000579,Black or African American,Male,1976
2019-0000583,WHI,M,1970
2019-0000587,White,Male,NULL
2019-0000588,Black or African American,Male,NULL
2019-0000589,Black or African American,Male,1991
2019-0000590,Black or African American,Male,1971
2019-0000597,NULL,Male,1973
2019-0000602,NULL,NULL,NULL
2019-0000602,Not listed,Male,NULL
2019-0000603,"Hispanic, Latino, or Spanish Origin",Male,1969
2019-0000604,Black or African American,Male,1966
2019-0000608,American Indian or Alaska Native,Female,NULL
2019-0000611,NULL,NULL,NULL
2019-0000612,Black or African American,Male,1994
2019-0000615,Black or African American,Female,1957
2019-0000616,White,Male,1965
2019-0000616,NULL,NULL,NULL
2019-0000619,Black or African American,NULL,NULL
2019-0000619,WHI,M,1981
2019-0000623,NULL,Female,NULL
2019-0000624,Black or African American,Male,NULL
2019-0000624,BLK,F,1973
2019-0000625,Black or African American,Male,1968
2019-0000626,Black or African American,Male,1989
2019-0000628,Black or African American,Male,1994
2019-0000629,"Hispanic, Latino, or Spanish origin",Male,2019
2019-0000632,Black or African American,Male,1984
2019-0000635,Black or African American,Male,1981
2019-0000636,Black or African American,Male,1974
2019-0000643,Black or African American,Male,1994
2019-0000644,NULL,NULL,NULL
2019-0000645,Black or African American,Male,1988
2019-0000646,"Hispanic, Latino, or Spanish Origin",Female,1972
2019-0000647,BLK,M,1973
2019-0000648,Black or African American,Female,1993
2019-0000648,Black or African American,Male,1994
2019-0000651,Black or African American,Male,1964
2019-0000652,WHI,M,1978
2019-0000655,NULL,Female,NULL
2019-0000656,Black or African American,Female,1997
2019-0000656,Black or African American,Female,1997
2019-0000662,White,Male,1971
2019-0000664,Black or African American,Male,1978
2019-0000665,Black or African American,Male,1972
2019-0000665,Black or African American,Male,NULL
2019-0000667,Black or African American,Female,NULL
2019-0000673,Black or African American,Female,1988
2019-0000674,Black or African American,Female,1997
2019-0000676,Black or African American,Male,NULL
2019-0000677,Black or African American,Male,NULL
2019-0000680,Black or African American,Male,1996
2019-0000681,Black or African American,Male,1998
2019-0000684,White,Female,NULL
2019-0000685,Black or African American,Female,NULL
2019-0000685,BLK,M,1972
2019-0000687,White,Male,1991
2019-0000688,Black or African American,Female,1995
2019-0000689,NULL,NULL,NULL
2019-0000690,White,Female,1994
2019-0000691,Black or African American,Male,NULL
2019-0000691,BLK,M,1972
2019-0000693,Black or African American,Female,1985
2019-0000694,Black or African American,Female,2019
2019-0000695,Black or African American,Male,2019
2019-0000695,Black or African American,Female,1995
2019-0000699,NULL,NULL,1986
2019-0000699,BLK,M,1978
2019-0000703,Black or African American,Female,1972
2019-0000713,Black or African American,Female,1985
2019-0000714,Not listed,Male,1976
2019-0000720,Black or African American,Female,1983
2019-0000720,API,M,1961
2019-0000721,Black or African American,Female,1986
2019-0000722,Black or African American,Male,1987
2019-0000723,Black or African American,Female,1996
2019-0000724,BLK,F,1969
2019-0000725,Black or African American,Female,1997
2019-0000733,Black or African American,Female,1990
2019-0000733,WHI,M,1975
2019-0000739,Black or African American,Male,1991
2019-0000740,NULL,Male,1998
2019-0000740,WHI,M,1968
2019-0000742,NULL,Male,1981
2019-0000743,Black or African American,Female,1961
2019-0000744,Prefer Not to Say,NULL,1966
2019-0000748,Black or African American,Female,1992
2019-0000748,Black or African American,Male,1993
2019-0000749,Native Hawaiian or Other Pacific Islander,Male,1975
2019-0000751,NULL,NULL,NULL
2019-0000752,Black or African American,Male,NULL
2019-0000753,Black or African American,Male,1993
2019-0000757,Black or African American,Female,1975
2019-0000758,S,M,1970
2019-0000759,Black or African American,Male,1978
2019-0000760,Black or African American,Male,1993
2019-0000764,Black or African American,Male,1995
2019-0000764,Black or African American,Female,NULL
2019-0000766,NULL,NULL,NULL
2019-0000767,Black or African American,Male,1982
2019-0000767,Black or African American,Male,1994
2019-0000767,NULL,Female,NULL
2019-0000769,Black or African American,Male,1994
2019-0000772,Black or African American,Female,1999
2019-0000773,Black or African American,Male,NULL
2019-0000780,White,Male,1974
2019-0000781,Black or African American,Male,1985
2019-0000783,BLK,F,1958
2019-0000785,Black or African American,Male,1951
2019-0000787,White,Male,1977
2019-0000787,WHI,M,1967
2019-0000788,NULL,Male,1983
2019-0000791,Black or African American,Male,1985
2019-0000795,WHI,M,1979
2019-0000796,NULL,Female,1980
2019-0000797,NULL,Female,NULL
2019-0000797,BLK,F,1960
2019-0000798,NULL,NULL,NULL
2019-0000800,BLK,M,1964
2019-0000803,WHI,M,1967
2019-0000803,White,Male,NULL
2019-0000804,Black or African American,Female,1971
2019-0000805,NULL,NULL,NULL
2019-0000806,NULL,NULL,NULL
2019-0000808,"Hispanic, Latino, or Spanish origin",Female,1994
2019-0000809,Black or African American,Male,1978
2019-0000812,Black or African American,Female,NULL
2019-0000814,Black or African American,Male,1977
2019-0000815,Black or African American,Male,1992
2019-0000819,White,Male,1953
2019-0000819,WHI,M,1969
2019-0000823,Asian,Male,2019
2019-0000824,Black or African American,Female,1982
2019-0000825,Asian,Male,2019
2019-0000826,Black or African American,Female,1989
2019-0000831,NULL,NULL,NULL
2019-0000832,Black or African American,Male,1985
2019-0000834,Black or African American,Female,1969
2019-0000834,Black or African American,Male,2003
2019-0000838,Black or African American,NULL,1988
2019-0000839,NULL,Male,2000
2019-0000840,Black or African American,Female,1989
2019-0000842,Black or African American,Male,1965
2019-0000844,Black or African American,Male,1995
2019-0000848,Black or African American,Female,1959
2019-0000850,Black or African American,Female,1987
2019-0000852,Black or African American,Male,1992
2019-0000863,Black or African American,Female,1967
2019-0000867,Black or African American,Female,1984
2019-0000874,Black or African American,NULL,NULL
2019-0000876,Black or African American,Male,1996
2019-0000879,Black or African American,Male,1991
2019-0000883,Black or African American,Male,1986
2019-0000886,Black or African American,Male,1991
2019-0000889,S,M,1971
2019-0000891,WHI,M,1979
2019-0000891,"Hispanic, Latino, or Spanish Origin",Male,1995
2019-0000894,Black or African American,Male,1970
2019-0000899,Black or African American,Male,1976
2019-0000901,White,Male,NULL
2019-0000904,Black or African American,Male,1967
2019-0000908,Black or African American,Male,1979
2019-0000910,Black or African American,NULL,1984
2019-0000911,Black or African American,Male,1946
2019-0000914,Black or African American,NULL,1991
2019-0000918,NULL,NULL,NULL
2019-0000922,S,M,1972
2019-0000924,NULL,NULL,NULL
2019-0000926,Black or African American,Male,1974
2019-0000928,Black or African American,Male,1995
2019-0000939,Black or African American,Male,1984
2019-0000944,Asian,Female,1971
2019-0000945,Black or African American,Male,1993
2019-0000945,Black or African American,Male,1998
2019-0000945,WHI,M,1979
2019-0000946,S,M,1966
2019-0000947,Black or African American,Male,1966
2019-0000949,Black or African American,Male,1992
2019-0000952,Black or African American,Male,1970
2019-0000954,Black or African American,Male,1993
2019-0000960,NULL,Male,1988
2019-0000962,Middle Eastern or North African,Male,1991
2019-0000964,Black or African American,Male,NULL
2019-0000965,Black or African American,Male,1995
2019-0000969,Asian,Male,1972
2019-0000970,Black or African American,Male,1994
2019-0000973,White,Female,NULL
2019-0000973,White,Female,NULL
2019-0000975,Black or African American,Female,NULL
2019-0000976,"Hispanic, Latino, or Spanish Origin",Female,1975
2019-0000977,Black or African American,Female,1970
2019-0000978,Black or African American,Male,1995
2019-0000991,Black or African American,Male,1961
2019-0000992,Black or African American,Male,1997
2019-0000993,White,Female,1981
2019-0000995,NULL,NULL,NULL
2019-0000999,White,Male,1987
2019-0001001,Black or African American,Male,1991
2019-0001002,Black or African American,Female,1995
2019-0001003,Black or African American,Male,NULL
2019-0001009,White,Female,1998
2019-0001010,White,Female,1995
2019-0001013,Black or African American,Male,NULL
2019-0001013,BLK,M,1972
2019-0001017,S,M,1975
2019-0001017,Black or African American,Male,1993
2019-0001019,White,Male,1976
2019-0001021,Black or African American,Male,1997
2019-0001025,Black or African American,Male,1993
2019-0001033,NULL,NULL,NULL
2019-0001034,NULL,NULL,NULL
2019-0001035,NULL,NULL,NULL
2019-0001037,Black or African American,Male,1993
2019-0001039,NULL,Male,NULL
2019-0001042,White,NULL,1990
2019-0001043,Black or African American,Male,1996
2019-0001044,Black or African American,NULL,1991
2019-0001044,WHI,M,1960
2019-0001048,Black or African American,NULL,1992
2019-0001052,NULL,NULL,NULL
2019-0001056,White,Male,1976
2019-0001057,Black or African American,Male,1995
2019-0001059,Black or African American,Male,1994
2019-0001059,API,M,1978
2019-0001060,Black or African American,Male,1986
2019-0001060,Black or African American,Female,1955
2019-0001066,NULL,NULL,NULL
2019-0001067,Black or African American,Male,1986
2019-0001070,Black or African American,Male,1985
2019-0001071,NULL,NULL,NULL
2019-0001072,Black or African American,Male,1986
2019-0001074,Black or African American,Male,1991
2019-0001079,NULL,Male,NULL
2019-0001086,Black or African American,Female,2019
2019-0001089,Black or African American,NULL,NULL
2019-0001090,Black or African American,Female,1986
2019-0001093,Black or African American,Male,1967
2019-0001096,White,Male,1996
2019-0001096,WHI,M,1965
2019-0001097,WHI,M,1982
2019-0001099,WHI,M,1962
2019-0001100,S,M,1966
2019-0001101,Black or African American,Female,1965
2019-0001103,S,M,1974
2019-0001115,Black or African American,Female,1978
2019-0001117,"Hispanic, Latino, or Spanish Origin",Male,1983
2019-0001118,NULL,Male,1991
2019-0001120,NULL,NULL,NULL
2019-0001121,Black or African American,NULL,1961
2019-0001121,Black or African American,Male,2001
2019-0001122,Black or African American,Male,1997
2019-0001123,NULL,NULL,NULL
2019-0001125,NULL,NULL,NULL
2019-0001126,Black or African American,Male,1981
2019-0001128,NULL,NULL,NULL
2019-0001129,NULL,NULL,NULL
2019-0001130,Black or African American,Male,1993
2019-0001132,Black or African American,Male,1992
2019-0001136,Black or African American,Male,1969
2019-0001137,NULL,Female,NULL
2019-0001143,WHI,M,1969
2019-0001144,Black or African American,Male,1985
2019-0001147,NULL,NULL,NULL
2019-0001149,Asian,Female,1984
2019-0001155,NULL,NULL,NULL
2019-0001160,White,Female,1975
2019-0001163,NULL,Male,NULL
2019-0001167,Black or African American,Male,NULL
2019-0001171,Black or African American,Male,1985
2019-0001173,Black or African American,Male,1999
2019-0001174,Black or African American,Male,1980
2019-0001176,NULL,NULL,NULL
2019-0001177,Black or African American,Male,1987
2019-0001179,Black or African American,NULL,1986
2019-0001186,NULL,NULL,NULL
2019-0001187,Black or African American,Female,1954
2019-0001437,Black or African American,Male,2019
2019-0001466,Black or African American,Male,1976
2019-0001610,Black or African American,Male,1984
2019-0001611,Black or African American,Male,1987
2019-0001611,WHI,M,1978
2019-0001613,WHI,M,1980
2019-0001613,Black or African American,Female,NULL
2019-0001615,NULL,Female,NULL
2019-0001615,WHI,F,1965
2019-0001617,WHI,M,1971
2019-0001621,S,M,1964
2019-0001621,Native Hawaiian or Other Pacific Islander,NULL,1989
2019-0001621,Black or African American,Male,1986
2019-0001624,NULL,NULL,NULL
2019-0001624,WHI,M,1960
2019-0001626,NULL,Male,1997
2019-0001630,NULL,NULL,NULL
2019-0001631,Black or African American,Male,1981
2019-0001633,"Hispanic, Latino, or Spanish Origin",Male,1998
2019-0001642,Black or African American,Female,1980
2019-0001645,"Some Other Race, Ethnicity, or Origin",Female,1962
2019-0001646,WHI,M,1972
2019-0001648,NULL,NULL,NULL
2019-0001649,Black or African American,Male,1980
2019-0001649,WHI,F,1979
2019-0001658,Black or African American,NULL,1977
2019-0001661,NULL,NULL,NULL
2019-0001662,NULL,NULL,NULL
2019-0001664,Black or African American,Female,NULL
2019-0001674,NULL,Male,1987
2019-0001676,Black or African American,Female,2001
2019-0001678,NULL,Male,1987
2019-0001679,Black or African American,Male,1991
2019-0001680,S,M,1975
2019-0001681,Black or African American,Male,1991
2019-0001687,Black or African American,Male,1992
2019-0001689,NULL,NULL,NULL
2019-0001691,NULL,NULL,NULL
2019-0001697,Black or African American,Female,1969
2019-0001703,S,M,1963
2019-0001706,Black or African American,Male,1988
2019-0001708,NULL,Female,NULL
2019-0001708,S,M,1967
2019-0001712,BLK,F,1973
2019-0001712,Black or African American,Male,1973
2019-0001716,Black or African American,Female,1980
2019-0001718,Black or African American,Female,1972
2019-0001718,WHI,M,1969
2019-0001719,WHI,M,1966
2019-0001725,American Indian or Alaska Native,Male,1964
2019-0001726,S,M,1973
2019-0001727,S,M,1973
2019-0001727,Black or African American,Male,NULL
2019-0001728,White,Male,1973
2019-0001728,WHI,M,1982
2019-0001748,Black or African American,Male,1990
2019-0001751,Black or African American,Male,1994
2019-0001761,"Hispanic, Latino, or Spanish Origin",Male,1992
2019-0001765,Black or African American,Male,NULL
2019-0001768,White,Female,1977
2019-0001769,Black or African American,Male,1997
2019-0001773,WHI,M,1970
2019-0001774,Black or African American,Male,NULL
2019-0001778,White,Female,1989
2019-0001779,Black or African American,Male,1986
2019-0001780,BLK,M,1969
2019-0001780,WHI,F,1968
2019-0001782,Black or African American,Male,1995
2019-0001794,Black or African American,Male,1957
2019-0001797,White,Male,1984
2019-0001798,Asian,Male,2019
2019-0001799,Asian,Male,2019
2019-0001800,Asian,Male,NULL
2019-0001801,Not listed,Male,2019
2019-0001802,Black or African American,Female,NULL
2019-0001804,NULL,NULL,NULL
2019-0001805,Black or African American,Female,1992
2019-0001807,WHI,M,1982
2019-0001807,Black or African American,Male,1989
2019-0001815,NULL,Male,1986
2019-0001816,Black or African American,Male,1972
2019-0001820,Black or African American,Male,1984
2019-0001823,Black or African American,Male,NULL
2019-0001827,Black or African American,NULL,1990
2019-0001827,WHI,M,1981
2019-0001828,NULL,Female,NULL
2019-0001832,NULL,NULL,NULL
2019-0001832,WHI,M,1970
2019-0001834,WHI,M,1968
2019-0001836,S,M,1963
2019-0001838,Not listed,Non-binary/third gender,2019
2019-0001839,"Hispanic, Latino, or Spanish Origin",Female,1985
2019-0001839,WHI,M,1970
2019-0001840,White,Prefer not to say,NULL
2019-0001841,White,Male,NULL
2019-0001846,BLK,M,1968
2019-0001846,Black or African American,Female,NULL
2019-0001846,Black or African American,Male,2001
2019-0001849,WHI,F,1976
2019-0001850,WHI,M,1971
2019-0001850,Black or African American,Male,1987
2019-0001854,Black or African American,Male,1982
2019-0001855,NULL,NULL,NULL
2019-0001855,BLK,M,1969
2019-0001855,API,M,1968
2019-0001856,Black or African American,Female,1972
2019-0001857,"Hispanic, Latino, or Spanish origin",Male,1993
2019-0001862,NULL,Female,1978
2019-0001864,WHI,M,1978
2019-0001865,Black or African American,Male,1990
2019-0001866,Black or African American,Male,1982
2019-0001866,WHI,M,1970
2019-0001868,WHI,M,1981
2019-0001874,Black or African American,Male,1997
2019-0001876,NULL,NULL,NULL
2019-0001879,NULL,NULL,NULL
2019-0001893,Black or African American,Female,1976
2019-0001894,NULL,Male,1964
2019-0001895,Black or African American,Female,1991
2019-0001895,WHI,M,1977
2019-0001898,Black or African American,Male,1984
2019-0001900,Black or African American,Female,2008
2019-0001900,WHI,M,1981
2019-0001903,Black or African American,Male,1985
2019-0001906,Black or African American,Male,1955
2019-0001907,White,Male,1971
2019-0001907,WHI,M,1965
2019-0001908,WHI,M,1971
2019-0001908,NULL,NULL,NULL
2019-0001916,White,Female,NULL
2019-0001918,Black or African American,Male,1974
2019-0001923,Black or African American,Male,1994
2019-0001924,Black or African American,Male,1990
2019-0001929,Black or African American,Female,1956
2019-0001932,White,Female,1987
2019-0001934,White,Female,2003
2019-0001935,Black or African American,Male,2019
2019-0001940,Black or African American,Male,1955
2019-0001940,WHI,M,1973
2019-0001941,Black or African American,Male,1984
2019-0001942,Black or African American,Male,1996
2019-0001943,Black or African American,Male,2000
2019-0001945,Black or African American,Female,1988
2019-0001948,BLK,F,1966
2019-0001948,WHI,M,1989
2019-0001951,NULL,NULL,1942
2019-0001955,White,Male,2019
2019-0001956,White,Male,2019
2019-0001957,Asian,Male,2019
2019-0001958,White,Female,1966
2019-0001960,S,M,1969
2019-0001961,NULL,NULL,NULL
2019-0001962,Black or African American,Male,1979
2019-0001963,Black or African American,Male,1982
2019-0001964,NULL,NULL,NULL
2019-0001965,NULL,NULL,NULL
2019-0001967,Black or African American,Female,1982
2019-0001969,Black or African American,Male,1982
2019-0001970,NULL,NULL,NULL
2019-0001973,"Hispanic, Latino, or Spanish Origin",Male,1980
2019-0001977,NULL,NULL,NULL
2019-0001979,Asian,Male,2019
2019-0001980,NULL,NULL,NULL
2019-0001981,Asian,Male,2019
2019-0001982,White,Male,2019
2019-0001983,Black or African American,Male,1971
2019-0001984,White,Male,2019
2019-0001986,Asian,Male,2019
2019-0001987,NULL,NULL,2019
2019-0001988,NULL,NULL,NULL
2019-0001989,White,Male,2019
2019-0001990,NULL,NULL,NULL
2019-0001991,NULL,NULL,NULL
2019-0001992,NULL,NULL,NULL
2019-0001993,Black or African American,Male,1955
2019-0001994,Asian,Male,2019
2019-0001995,NULL,NULL,NULL
2019-0001997,White,Male,2019
2019-0001998,Asian,Male,2019
2019-0001999,White,Male,2019
2019-0002000,WHI,M,1971
2019-0002003,Black or African American,NULL,1977
2019-0002004,Black or African American,Male,1984
2019-0002011,NULL,Male,NULL
2019-0002015,Black or African American,Female,1969
2019-0002017,Black or African American,Male,1994
2019-0002019,NULL,Male,1988
2019-0002020,White,Female,1989
2019-0002021,Black or African American,Male,1995
2019-0002022,White,Male,1989
2019-0002033,Black or African American,Male,NULL
2019-0002034,"Hispanic, Latino, or Spanish origin",Male,1952
2019-0002039,Black or African American,Female,NULL
2019-0002042,WHI,M,1975
2019-0002047,Black or African American,Male,1988
2019-0002048,Black or African American,Male,1983
2019-0002049,WHI,M,1969
2019-0002052,Black or African American,Male,1945
2019-0002058,Black or African American,Male,2000
2019-0002058,WHI,M,1965
2019-0002060,WHI,M,1970
2019-0002061,WHI,M,1984
2019-0002061,WHI,M,1975
2019-0002062,WHI,M,1984
2019-0002063,WHI,M,1968
2019-0002075,White,Male,1950
2019-0002078,"Hispanic, Latino, or Spanish Origin",Male,1982
2019-0002079,Black or African American,Female,1984
2019-0002081,Black or African American,Male,1983
2019-0002089,Asian,Male,2019
2019-0002092,Asian,Male,2019
2019-0002095,Asian,Male,2019
2019-0002097,"Hispanic, Latino, or Spanish origin",Male,2019
2019-0002099,Black or African American,Male,1965
2019-0002101,Asian,Male,2019
2019-0002104,Black or African American,Female,1990
2019-0002105,Black or African American,Male,1964
