LOG_NO,RACE,GENDER,BIRTH_YEAR,AGE
2019-0000106,NULL,NULL,NULL,NULL
2019-0000108,NULL,NULL,NULL,NULL
2019-0000114,NULL,NULL,NULL,NULL
2019-0000115,NULL,NULL,NULL,NULL
2019-0000117,NULL,NULL,NULL,NULL
2019-0000123,NULL,NULL,NULL,NULL
2019-0000125,NULL,NULL,NULL,NULL
2019-0000128,Black or African American,Female,1968,51
2019-0000133,NULL,NULL,NULL,NULL
2019-0000137,Black or African American,Male,1999,20
2019-0000137,Black or African American,Male,1977,42
2019-0000138,Black or African American,Male,NULL,NULL
2019-0000139,NULL,NULL,NULL,NULL
2019-0000140,NULL,NULL,NULL,NULL
2019-0000142,NULL,NULL,NULL,NULL
2019-0000148,NULL,NULL,NULL,NULL
2019-0000149,Black or African American,Female,1991,28
2019-0000150,Black or African American,Male,1982,37
2019-0000156,NULL,NULL,NULL,NULL
2019-0000160,NULL,NULL,NULL,NULL
2019-0000165,NULL,NULL,NULL,NULL
2019-0000166,NULL,NULL,NULL,NULL
2019-0000172,NULL,NULL,NULL,NULL
2019-0000174,NULL,NULL,NULL,NULL
2019-0000178,NULL,NULL,NULL,NULL
2019-0000183,NULL,Female,NULL,NULL
2019-0000189,Black or African American,Male,1997,22
2019-0000202,NULL,NULL,NULL,NULL
2019-0000204,NULL,NULL,NULL,NULL
2019-0000206,NULL,NULL,NULL,NULL
2019-0000207,NULL,NULL,NULL,NULL
2019-0000208,NULL,NULL,NULL,NULL
2019-0000211,NULL,NULL,NULL,NULL
2019-0000214,NULL,Female,NULL,NULL
2019-0000214,NULL,Female,1975,44
2019-0000214,NULL,NULL,1984,35
2019-0000216,NULL,NULL,NULL,NULL
2019-0000218,NULL,NULL,NULL,NULL
2019-0000220,NULL,NULL,NULL,NULL
2019-0000221,NULL,NULL,NULL,NULL
2019-0000225,NULL,NULL,NULL,NULL
2019-0000226,NULL,NULL,NULL,NULL
2019-0000228,NULL,NULL,NULL,NULL
2019-0000230,NULL,NULL,NULL,NULL
2019-0000233,NULL,NULL,NULL,NULL
2019-0000238,NULL,NULL,NULL,NULL
2019-0000239,NULL,NULL,NULL,NULL
2019-0000241,NULL,NULL,NULL,NULL
2019-0000245,NULL,NULL,NULL,NULL
2019-0000246,NULL,NULL,NULL,NULL
2019-0000247,Black or African American,Male,1963,56
2019-0000247,Black or African American,Male,1968,51
2019-0000247,Black or African American,Female,1953,66
2019-0000250,"Hispanic, Latino, or Spanish Origin",NULL,1973,46
2019-0000254,NULL,NULL,NULL,NULL
2019-0000256,NULL,NULL,NULL,NULL
2019-0000261,NULL,Male,NULL,NULL
2019-0000263,NULL,NULL,NULL,NULL
2019-0000266,NULL,NULL,NULL,NULL
2019-0000268,NULL,NULL,NULL,NULL
2019-0000269,Black or African American,Male,1947,72
2019-0000270,NULL,NULL,NULL,NULL
2019-0000275,NULL,NULL,NULL,NULL
2019-0000278,NULL,NULL,NULL,NULL
2019-0000285,NULL,NULL,NULL,NULL
2019-0000286,NULL,NULL,NULL,NULL
2019-0000288,NULL,NULL,NULL,NULL
2019-0000290,NULL,NULL,NULL,NULL
2019-0000291,NULL,NULL,NULL,NULL
2019-0000292,Black or African American,Male,1988,31
2019-0000294,Black or African American,Female,2016,3
2019-0000294,Black or African American,Female,1992,27
2019-0000294,Black or African American,Male,1956,63
2019-0000294,Black or African American,Female,1983,36
2019-0000294,Black or African American,Female,NULL,NULL
2019-0000295,NULL,NULL,NULL,NULL
2019-0000301,NULL,NULL,NULL,NULL
2019-0000303,NULL,NULL,NULL,NULL
2019-0000304,NULL,Female,NULL,NULL
2019-0000304,NULL,Male,NULL,NULL
2019-0000305,NULL,NULL,NULL,NULL
2019-0000309,NULL,NULL,NULL,NULL
2019-0000311,NULL,NULL,NULL,NULL
2019-0000313,NULL,NULL,NULL,NULL
2019-0000314,NULL,NULL,NULL,NULL
2019-0000315,NULL,NULL,NULL,NULL
2019-0000318,NULL,NULL,NULL,NULL
2019-0000322,NULL,NULL,NULL,NULL
2019-0000326,NULL,NULL,NULL,NULL
2019-0000330,NULL,NULL,NULL,NULL
2019-0000331,NULL,NULL,NULL,NULL
2019-0000338,NULL,Female,1973,46
2019-0000338,Black or African American,Female,1995,24
2019-0000338,Black or African American,Male,1995,24
2019-0000338,Black or African American,Female,2013,6
2019-0000338,Black or African American,Male,2018,1
2019-0000344,Black or African American,Female,1994,25
2019-0000345,Black or African American,Male,NULL,NULL
2019-0000345,Black or African American,Female,NULL,NULL
2019-0000346,NULL,NULL,NULL,NULL
2019-0000348,NULL,NULL,NULL,NULL
2019-0000351,NULL,NULL,NULL,NULL
2019-0000354,NULL,NULL,NULL,NULL
2019-0000357,NULL,NULL,NULL,NULL
2019-0000358,Black or African American,Male,2009,10
2019-0000358,Black or African American,NULL,2012,7
2019-0000363,Black or African American,Female,1999,20
2019-0000365,Black or African American,Male,1999,20
2019-0000368,NULL,NULL,NULL,NULL
2019-0000370,NULL,NULL,NULL,NULL
2019-0000374,NULL,NULL,NULL,NULL
2019-0000381,NULL,NULL,NULL,NULL
2019-0000383,Black or African American,Male,NULL,NULL
2019-0000387,NULL,NULL,NULL,NULL
2019-0000388,NULL,NULL,NULL,NULL
2019-0000388,NULL,NULL,NULL,NULL
2019-0000388,NULL,NULL,NULL,NULL
2019-0000389,NULL,NULL,NULL,NULL
2019-0000391,NULL,NULL,NULL,NULL
2019-0000392,NULL,NULL,NULL,NULL
2019-0000395,Black or African American,Male,NULL,NULL
2019-0000396,NULL,NULL,NULL,NULL
2019-0000397,NULL,NULL,NULL,NULL
2019-0000399,NULL,NULL,NULL,NULL
2019-0000400,NULL,NULL,NULL,NULL
2019-0000401,NULL,NULL,NULL,NULL
2019-0000406,NULL,NULL,NULL,NULL
2019-0000408,NULL,NULL,NULL,NULL
2019-0000410,NULL,NULL,NULL,NULL
2019-0000414,NULL,NULL,NULL,NULL
2019-0000415,NULL,NULL,NULL,NULL
2019-0000417,NULL,NULL,NULL,NULL
2019-0000423,NULL,NULL,NULL,NULL
2019-0000424,NULL,NULL,NULL,NULL
2019-0000427,Black or African American,Male,1992,27
2019-0000427,Black or African American,Female,1998,21
2019-0000427,NULL,Male,1998,21
2019-0000428,NULL,NULL,NULL,NULL
2019-0000429,NULL,NULL,NULL,NULL
2019-0000431,NULL,NULL,NULL,NULL
2019-0000432,NULL,NULL,NULL,NULL
2019-0000442,"Hispanic, Latino, or Spanish Origin",Male,NULL,NULL
2019-0000446,Black or African American,Female,1968,51
2019-0000447,NULL,NULL,NULL,NULL
2019-0000448,NULL,NULL,NULL,NULL
2019-0000450,Black or African American,Male,NULL,NULL
2019-0000450,Black or African American,Male,NULL,NULL
2019-0000453,NULL,NULL,NULL,NULL
2019-0000454,NULL,NULL,NULL,NULL
2019-0000455,NULL,NULL,NULL,NULL
2019-0000456,NULL,NULL,NULL,NULL
2019-0000465,NULL,NULL,NULL,NULL
2019-0000466,NULL,NULL,NULL,NULL
2019-0000467,NULL,NULL,NULL,NULL
2019-0000478,NULL,NULL,NULL,NULL
2019-0000479,NULL,NULL,NULL,NULL
2019-0000480,NULL,NULL,NULL,NULL
2019-0000486,NULL,NULL,NULL,NULL
2019-0000489,Black or African American,NULL,NULL,NULL
2019-0000489,NULL,Female,NULL,NULL
2019-0000489,NULL,Male,NULL,NULL
2019-0000492,NULL,NULL,NULL,NULL
2019-0000494,NULL,NULL,NULL,NULL
2019-0000497,NULL,NULL,NULL,NULL
2019-0000498,NULL,NULL,NULL,NULL
2019-0000500,Black or African American,Female,1966,53
2019-0000500,Black or African American,NULL,NULL,NULL
2019-0000501,NULL,NULL,NULL,NULL
2019-0000502,NULL,NULL,NULL,NULL
2019-0000505,NULL,NULL,NULL,NULL
2019-0000511,NULL,NULL,NULL,NULL
2019-0000512,NULL,NULL,NULL,NULL
2019-0000513,NULL,NULL,NULL,NULL
2019-0000515,NULL,NULL,NULL,NULL
2019-0000516,NULL,NULL,NULL,NULL
2019-0000518,NULL,NULL,NULL,NULL
2019-0000521,NULL,NULL,NULL,NULL
2019-0000522,NULL,NULL,NULL,NULL
2019-0000525,"Hispanic, Latino, or Spanish Origin",Female,1993,26
2019-0000526,NULL,NULL,NULL,NULL
2019-0000527,NULL,NULL,NULL,NULL
2019-0000531,NULL,Male,1989,30
2019-0000533,"Hispanic, Latino, or Spanish origin",Male,NULL,NULL
2019-0000541,NULL,NULL,NULL,NULL
2019-0000542,NULL,NULL,NULL,NULL
2019-0000547,NULL,NULL,NULL,NULL
2019-0000549,NULL,NULL,NULL,NULL
2019-0000552,NULL,NULL,NULL,NULL
2019-0000558,NULL,NULL,NULL,NULL
2019-0000560,NULL,NULL,NULL,NULL
2019-0000561,NULL,NULL,NULL,NULL
2019-0000563,NULL,NULL,NULL,NULL
2019-0000569,NULL,NULL,NULL,NULL
2019-0000571,"Hispanic, Latino, or Spanish Origin",Male,1978,41
2019-0000573,NULL,NULL,NULL,NULL
2019-0000576,NULL,NULL,NULL,NULL
2019-0000577,Black or African American,Female,1974,45
2019-0000577,Black or African American,Male,1972,47
2019-0000577,"Hispanic, Latino, or Spanish Origin",Male,1990,29
2019-0000577,Black or African American,Male,1981,38
2019-0000577,Black or African American,Male,1974,45
2019-0000577,Black or African American,Female,1971,48
2019-0000579,NULL,NULL,NULL,NULL
2019-0000583,NULL,NULL,NULL,NULL
2019-0000587,NULL,NULL,NULL,NULL
2019-0000588,NULL,NULL,NULL,NULL
2019-0000589,NULL,NULL,NULL,NULL
2019-0000590,NULL,NULL,NULL,NULL
2019-0000597,NULL,NULL,NULL,NULL
2019-0000602,NULL,NULL,NULL,NULL
2019-0000603,"Hispanic, Latino, or Spanish Origin",Female,1985,34
2019-0000604,NULL,NULL,NULL,NULL
2019-0000608,NULL,NULL,NULL,NULL
2019-0000611,NULL,NULL,NULL,NULL
2019-0000612,NULL,NULL,NULL,NULL
2019-0000615,NULL,NULL,NULL,NULL
2019-0000616,NULL,NULL,NULL,NULL
2019-0000619,NULL,NULL,NULL,NULL
2019-0000623,NULL,NULL,NULL,NULL
2019-0000624,NULL,NULL,NULL,NULL
2019-0000625,NULL,NULL,NULL,NULL
2019-0000626,NULL,NULL,NULL,NULL
2019-0000628,NULL,NULL,NULL,NULL
2019-0000629,NULL,NULL,NULL,NULL
2019-0000632,NULL,NULL,NULL,NULL
2019-0000635,NULL,NULL,NULL,NULL
2019-0000636,Black or African American,Female,NULL,NULL
2019-0000643,NULL,NULL,NULL,NULL
2019-0000644,NULL,NULL,NULL,NULL
2019-0000645,NULL,NULL,NULL,NULL
2019-0000646,NULL,NULL,NULL,NULL
2019-0000647,NULL,NULL,NULL,NULL
2019-0000648,Black or African American,Female,NULL,NULL
2019-0000651,NULL,NULL,NULL,NULL
2019-0000652,NULL,NULL,NULL,NULL
2019-0000655,NULL,NULL,NULL,NULL
2019-0000656,NULL,NULL,NULL,NULL
2019-0000662,White,Female,NULL,NULL
2019-0000664,NULL,NULL,NULL,NULL
2019-0000665,Black or African American,Male,NULL,NULL
2019-0000665,Black or African American,Male,NULL,NULL
2019-0000667,NULL,NULL,NULL,NULL
2019-0000673,Black or African American,Female,NULL,NULL
2019-0000673,Black or African American,Female,NULL,NULL
2019-0000674,Black or African American,Female,NULL,NULL
2019-0000676,NULL,NULL,NULL,NULL
2019-0000677,NULL,NULL,NULL,NULL
2019-0000680,Black or African American,Male,NULL,NULL
2019-0000681,Black or African American,Female,NULL,NULL
2019-0000684,NULL,NULL,NULL,NULL
2019-0000685,NULL,NULL,NULL,NULL
2019-0000687,"Hispanic, Latino, or Spanish origin",Male,NULL,NULL
2019-0000688,Black or African American,Female,NULL,NULL
2019-0000689,NULL,NULL,NULL,NULL
2019-0000690,NULL,NULL,NULL,NULL
2019-0000691,NULL,NULL,NULL,NULL
2019-0000693,NULL,NULL,NULL,NULL
2019-0000694,NULL,NULL,NULL,NULL
2019-0000695,NULL,NULL,NULL,NULL
2019-0000699,NULL,NULL,NULL,NULL
2019-0000703,Black or African American,Female,1972,47
2019-0000713,NULL,NULL,NULL,NULL
2019-0000714,NULL,NULL,NULL,NULL
2019-0000720,NULL,NULL,NULL,NULL
2019-0000721,NULL,NULL,NULL,NULL
2019-0000722,NULL,NULL,NULL,NULL
2019-0000723,Black or African American,Female,NULL,NULL
2019-0000723,Black or African American,Male,1997,22
2019-0000723,Black or African American,Male,NULL,NULL
2019-0000724,NULL,Female,NULL,NULL
2019-0000724,Black or African American,Male,2010,9
2019-0000724,NULL,Female,1968,51
2019-0000725,NULL,NULL,NULL,NULL
2019-0000733,NULL,Male,1995,24
2019-0000733,NULL,Male,1984,35
2019-0000733,NULL,Male,1990,29
2019-0000739,NULL,NULL,NULL,NULL
2019-0000740,NULL,NULL,NULL,NULL
2019-0000742,NULL,NULL,NULL,NULL
2019-0000743,NULL,NULL,NULL,NULL
2019-0000744,NULL,NULL,NULL,NULL
2019-0000748,NULL,NULL,NULL,NULL
2019-0000749,"Hispanic, Latino, or Spanish origin",Male,1962,57
2019-0000751,NULL,NULL,NULL,NULL
2019-0000752,NULL,NULL,NULL,NULL
2019-0000753,NULL,Male,1993,26
2019-0000757,NULL,NULL,NULL,NULL
2019-0000758,NULL,NULL,NULL,NULL
2019-0000759,NULL,Female,NULL,NULL
2019-0000760,NULL,NULL,NULL,NULL
2019-0000764,NULL,NULL,NULL,NULL
2019-0000766,NULL,NULL,NULL,NULL
2019-0000766,NULL,Male,NULL,NULL
2019-0000767,NULL,NULL,NULL,NULL
2019-0000769,NULL,NULL,NULL,NULL
2019-0000772,NULL,NULL,NULL,NULL
2019-0000773,NULL,NULL,NULL,NULL
2019-0000780,NULL,NULL,NULL,NULL
2019-0000781,NULL,NULL,NULL,NULL
2019-0000783,NULL,NULL,NULL,NULL
2019-0000785,NULL,NULL,NULL,NULL
2019-0000787,Asian,Female,NULL,NULL
2019-0000788,NULL,NULL,NULL,NULL
2019-0000791,NULL,NULL,NULL,NULL
2019-0000795,NULL,NULL,NULL,NULL
2019-0000796,NULL,NULL,NULL,NULL
2019-0000797,NULL,NULL,NULL,NULL
2019-0000798,NULL,NULL,NULL,NULL
2019-0000800,NULL,NULL,NULL,NULL
2019-0000803,NULL,NULL,NULL,NULL
2019-0000804,NULL,NULL,NULL,NULL
2019-0000805,NULL,NULL,NULL,NULL
2019-0000806,NULL,NULL,NULL,NULL
2019-0000808,"Hispanic, Latino, or Spanish origin",Female,2000,19
2019-0000809,NULL,NULL,NULL,NULL
2019-0000812,NULL,NULL,NULL,NULL
2019-0000814,NULL,NULL,NULL,NULL
2019-0000815,NULL,NULL,NULL,NULL
2019-0000819,White,Male,1953,66
2019-0000819,White,Male,1986,33
2019-0000823,NULL,NULL,NULL,NULL
2019-0000824,Black or African American,Female,1982,37
2019-0000825,NULL,NULL,NULL,NULL
2019-0000826,Black or African American,Male,1977,42
2019-0000831,NULL,NULL,NULL,NULL
2019-0000832,NULL,NULL,NULL,NULL
2019-0000834,Black or African American,Female,1982,37
2019-0000838,NULL,NULL,NULL,NULL
2019-0000839,NULL,Female,2001,18
2019-0000840,NULL,NULL,NULL,NULL
2019-0000842,NULL,NULL,NULL,NULL
2019-0000844,NULL,NULL,NULL,NULL
2019-0000848,Black or African American,Male,1962,57
2019-0000848,Black or African American,Male,NULL,NULL
2019-0000850,NULL,NULL,NULL,NULL
2019-0000852,Black or African American,Male,1991,28
2019-0000852,Black or African American,Male,1993,26
2019-0000863,Black or African American,Female,NULL,NULL
2019-0000867,NULL,NULL,NULL,NULL
2019-0000874,NULL,NULL,NULL,NULL
2019-0000876,NULL,NULL,NULL,NULL
2019-0000879,NULL,NULL,NULL,NULL
2019-0000883,NULL,NULL,NULL,NULL
2019-0000886,Black or African American,Male,1989,30
2019-0000889,NULL,NULL,NULL,NULL
2019-0000891,NULL,NULL,NULL,NULL
2019-0000894,NULL,NULL,NULL,NULL
2019-0000899,NULL,NULL,NULL,NULL
2019-0000901,NULL,NULL,NULL,NULL
2019-0000904,NULL,NULL,NULL,NULL
2019-0000908,NULL,NULL,NULL,NULL
2019-0000910,NULL,NULL,NULL,NULL
2019-0000911,NULL,NULL,NULL,NULL
2019-0000914,NULL,NULL,NULL,NULL
2019-0000918,NULL,NULL,NULL,NULL
2019-0000922,NULL,NULL,NULL,NULL
2019-0000924,NULL,NULL,NULL,NULL
2019-0000926,NULL,NULL,NULL,NULL
2019-0000928,NULL,NULL,NULL,NULL
2019-0000939,NULL,NULL,NULL,NULL
2019-0000944,NULL,NULL,NULL,NULL
2019-0000945,Black or African American,Male,1998,21
2019-0000946,NULL,NULL,NULL,NULL
2019-0000947,NULL,NULL,NULL,NULL
2019-0000949,NULL,NULL,NULL,NULL
2019-0000952,NULL,NULL,NULL,NULL
2019-0000954,NULL,NULL,NULL,NULL
2019-0000960,NULL,NULL,NULL,NULL
2019-0000962,NULL,NULL,NULL,NULL
2019-0000964,NULL,NULL,NULL,NULL
2019-0000965,NULL,NULL,NULL,NULL
2019-0000969,Asian,Male,NULL,NULL
2019-0000970,NULL,NULL,NULL,NULL
2019-0000973,NULL,NULL,NULL,NULL
2019-0000975,NULL,NULL,NULL,NULL
2019-0000976,NULL,Male,NULL,NULL
2019-0000976,NULL,NULL,NULL,NULL
2019-0000977,NULL,NULL,NULL,NULL
2019-0000978,NULL,NULL,NULL,NULL
2019-0000991,NULL,NULL,NULL,NULL
2019-0000992,NULL,NULL,NULL,NULL
2019-0000993,NULL,NULL,NULL,NULL
2019-0000995,Black or African American,Male,1993,26
2019-0000999,NULL,NULL,NULL,NULL
2019-0001001,NULL,NULL,NULL,NULL
2019-0001002,NULL,NULL,NULL,NULL
2019-0001003,Black or African American,Male,NULL,NULL
2019-0001003,Black or African American,Male,NULL,NULL
2019-0001009,NULL,NULL,NULL,NULL
2019-0001010,NULL,NULL,NULL,NULL
2019-0001013,NULL,NULL,NULL,NULL
2019-0001017,NULL,NULL,NULL,NULL
2019-0001019,NULL,NULL,NULL,NULL
2019-0001021,NULL,NULL,NULL,NULL
2019-0001025,NULL,NULL,NULL,NULL
2019-0001033,NULL,NULL,NULL,NULL
2019-0001034,NULL,NULL,NULL,NULL
2019-0001035,NULL,NULL,NULL,NULL
2019-0001037,NULL,NULL,NULL,NULL
2019-0001039,NULL,NULL,NULL,NULL
2019-0001042,White,Male,1996,23
2019-0001042,White,Female,NULL,NULL
2019-0001042,Black or African American,Male,NULL,NULL
2019-0001043,NULL,NULL,NULL,NULL
2019-0001044,Black or African American,Female,1992,27
2019-0001044,Black or African American,Female,1993,26
2019-0001044,Black or African American,Female,1990,29
2019-0001048,NULL,NULL,NULL,NULL
2019-0001052,NULL,NULL,NULL,NULL
2019-0001056,NULL,NULL,NULL,NULL
2019-0001057,Black or African American,Male,NULL,NULL
2019-0001059,NULL,NULL,NULL,NULL
2019-0001060,NULL,NULL,NULL,NULL
2019-0001066,NULL,NULL,NULL,NULL
2019-0001067,NULL,NULL,NULL,NULL
2019-0001070,Black or African American,Male,1990,29
2019-0001071,NULL,NULL,NULL,NULL
2019-0001072,NULL,NULL,NULL,NULL
2019-0001074,NULL,NULL,NULL,NULL
2019-0001079,Black or African American,Male,NULL,NULL
2019-0001086,NULL,NULL,NULL,NULL
2019-0001089,NULL,NULL,NULL,NULL
2019-0001090,NULL,NULL,NULL,NULL
2019-0001093,NULL,NULL,NULL,NULL
2019-0001096,NULL,NULL,NULL,NULL
2019-0001096,NULL,Female,NULL,NULL
2019-0001097,NULL,NULL,NULL,NULL
2019-0001099,NULL,NULL,NULL,NULL
2019-0001100,NULL,NULL,NULL,NULL
2019-0001101,NULL,NULL,NULL,NULL
2019-0001103,NULL,NULL,NULL,NULL
2019-0001115,NULL,Female,1983,36
2019-0001115,Black or African American,Male,NULL,NULL
2019-0001117,NULL,NULL,NULL,NULL
2019-0001118,NULL,NULL,NULL,NULL
2019-0001120,NULL,NULL,NULL,NULL
2019-0001121,NULL,NULL,NULL,NULL
2019-0001122,Black or African American,Male,1997,22
2019-0001123,NULL,NULL,NULL,NULL
2019-0001125,NULL,NULL,NULL,NULL
2019-0001126,NULL,NULL,NULL,NULL
2019-0001128,NULL,NULL,NULL,NULL
2019-0001129,NULL,NULL,NULL,NULL
2019-0001130,NULL,NULL,NULL,NULL
2019-0001132,Black or African American,Male,1990,29
2019-0001136,NULL,NULL,NULL,NULL
2019-0001137,NULL,NULL,NULL,NULL
2019-0001143,NULL,NULL,NULL,NULL
2019-0001144,NULL,NULL,NULL,NULL
2019-0001147,NULL,NULL,NULL,NULL
2019-0001149,Asian,Female,1984,35
2019-0001149,White,Male,1982,37
2019-0001155,NULL,NULL,NULL,NULL
2019-0001160,NULL,NULL,NULL,NULL
2019-0001163,NULL,NULL,NULL,NULL
2019-0001167,NULL,NULL,NULL,NULL
2019-0001171,NULL,NULL,NULL,NULL
2019-0001173,NULL,Female,NULL,NULL
2019-0001174,Black or African American,Male,NULL,NULL
2019-0001176,NULL,NULL,NULL,NULL
2019-0001177,NULL,NULL,NULL,NULL
2019-0001179,NULL,NULL,NULL,NULL
2019-0001186,NULL,NULL,NULL,NULL
2019-0001187,NULL,NULL,NULL,NULL
2019-0001437,NULL,NULL,NULL,NULL
2019-0001466,NULL,NULL,NULL,NULL
2019-0001610,NULL,NULL,NULL,NULL
2019-0001611,NULL,NULL,NULL,NULL
2019-0001613,Black or African American,Female,NULL,NULL
2019-0001615,NULL,NULL,NULL,NULL
2019-0001617,NULL,NULL,NULL,NULL
2019-0001621,Black or African American,Male,1984,35
2019-0001624,NULL,NULL,NULL,NULL
2019-0001626,NULL,NULL,NULL,NULL
2019-0001630,NULL,NULL,NULL,NULL
2019-0001631,NULL,NULL,NULL,NULL
2019-0001633,NULL,NULL,NULL,NULL
2019-0001642,NULL,NULL,NULL,NULL
2019-0001645,NULL,NULL,NULL,NULL
2019-0001646,NULL,NULL,NULL,NULL
2019-0001648,NULL,NULL,NULL,NULL
2019-0001649,NULL,NULL,NULL,NULL
2019-0001658,NULL,NULL,NULL,NULL
2019-0001661,NULL,NULL,NULL,NULL
2019-0001662,NULL,NULL,NULL,NULL
2019-0001664,Black or African American,Female,NULL,NULL
2019-0001674,NULL,NULL,NULL,NULL
2019-0001676,NULL,NULL,NULL,NULL
2019-0001678,NULL,NULL,NULL,NULL
2019-0001679,White,Female,1991,28
2019-0001680,NULL,NULL,NULL,NULL
2019-0001681,NULL,NULL,NULL,NULL
2019-0001687,NULL,Male,NULL,NULL
2019-0001689,NULL,NULL,NULL,NULL
2019-0001691,NULL,NULL,NULL,NULL
2019-0001697,NULL,NULL,NULL,NULL
2019-0001703,NULL,NULL,NULL,NULL
2019-0001706,NULL,NULL,NULL,NULL
2019-0001708,NULL,NULL,NULL,NULL
2019-0001712,Black or African American,Female,NULL,NULL
2019-0001716,Black or African American,Female,1983,36
2019-0001718,Black or African American,NULL,NULL,NULL
2019-0001719,NULL,NULL,NULL,NULL
2019-0001725,NULL,NULL,NULL,NULL
2019-0001726,"Hispanic, Latino, or Spanish Origin",Male,1999,20
2019-0001727,NULL,NULL,NULL,NULL
2019-0001728,NULL,Male,1969,50
2019-0001728,NULL,Male,1965,54
2019-0001728,NULL,Male,1962,57
2019-0001728,NULL,Male,1963,56
2019-0001748,NULL,NULL,NULL,NULL
2019-0001751,NULL,Female,NULL,NULL
2019-0001761,NULL,NULL,NULL,NULL
2019-0001765,NULL,NULL,NULL,NULL
2019-0001768,NULL,NULL,NULL,NULL
2019-0001769,NULL,NULL,NULL,NULL
2019-0001773,NULL,NULL,NULL,NULL
2019-0001774,NULL,NULL,NULL,NULL
2019-0001778,NULL,NULL,NULL,NULL
2019-0001779,Black or African American,Female,1987,32
2019-0001780,Black or African American,Male,NULL,NULL
2019-0001782,NULL,NULL,NULL,NULL
2019-0001794,NULL,NULL,NULL,NULL
2019-0001797,White,Female,1953,66
2019-0001798,NULL,NULL,NULL,NULL
2019-0001799,NULL,NULL,NULL,NULL
2019-0001800,NULL,NULL,NULL,NULL
2019-0001801,NULL,NULL,NULL,NULL
2019-0001802,NULL,NULL,NULL,NULL
2019-0001804,NULL,NULL,NULL,NULL
2019-0001805,NULL,NULL,NULL,NULL
2019-0001807,Black or African American,Female,1995,24
2019-0001807,White,Male,NULL,NULL
2019-0001807,White,Male,NULL,NULL
2019-0001807,White,Male,NULL,NULL
2019-0001807,"Hispanic, Latino, or Spanish Origin",Male,1993,26
2019-0001807,Asian,Male,1998,21
2019-0001815,NULL,NULL,NULL,NULL
2019-0001816,NULL,NULL,NULL,NULL
2019-0001820,NULL,NULL,NULL,NULL
2019-0001823,NULL,NULL,NULL,NULL
2019-0001827,NULL,NULL,NULL,NULL
2019-0001828,NULL,NULL,NULL,NULL
2019-0001832,NULL,NULL,NULL,NULL
2019-0001834,"Hispanic, Latino, or Spanish Origin",NULL,NULL,NULL
2019-0001834,"Hispanic, Latino, or Spanish Origin",NULL,NULL,NULL
2019-0001836,NULL,NULL,NULL,NULL
2019-0001838,NULL,NULL,NULL,NULL
2019-0001839,"Hispanic, Latino, or Spanish Origin",Male,1998,21
2019-0001839,"Hispanic, Latino, or Spanish Origin",Female,1985,34
2019-0001840,NULL,NULL,NULL,NULL
2019-0001841,NULL,NULL,NULL,NULL
2019-0001846,NULL,NULL,NULL,NULL
2019-0001849,NULL,NULL,NULL,NULL
2019-0001850,NULL,NULL,NULL,NULL
2019-0001854,NULL,NULL,NULL,NULL
2019-0001855,Black or African American,Male,NULL,NULL
2019-0001856,Black or African American,Female,1983,36
2019-0001857,NULL,NULL,NULL,NULL
2019-0001862,Black or African American,Female,1962,57
